25-Feb-2008 00:22:46	25-Feb-2008 09:34:12	10
25-Feb-2008 09:37:17	25-Feb-2008 09:38:02	4
25-Feb-2008 09:49:23	25-Feb-2008 09:53:28	13
25-Feb-2008 10:02:28	25-Feb-2008 10:12:42	5
25-Feb-2008 10:19:06	25-Feb-2008 16:55:38	1
25-Feb-2008 17:00:31	25-Feb-2008 17:01:34	4
25-Feb-2008 17:54:55	25-Feb-2008 17:55:58	17
25-Feb-2008 18:31:54	25-Feb-2008 18:33:38	4
25-Feb-2008 19:40:26	25-Feb-2008 20:22:58	15
25-Feb-2008 20:23:12	25-Feb-2008 20:23:35	17
25-Feb-2008 21:51:29	25-Feb-2008 21:52:36	4
25-Feb-2008 23:21:15	26-Feb-2008 09:15:30	10
25-Feb-2008 23:28:30	25-Feb-2008 23:29:14	4
